	model	config	train_data	train_test_split	test_data	seed	acc	num	recall	precision	f1	weighted_acc
	tf_model.h5	config.json	train.tsv	0.9	test.tsv	42	0.9628440366972477	4360	0.9670417281464836	0.9601157941444417	0.9623384571329839	0.9643508988256044	0.9628440366972477	0.9623501288841084	0.9610516066212269	0.9909638554216867	0.9757785467128028	996	0.9951020408163266	0.8923865300146413	0.9409494403705133	1366	0.9449715370018975	0.996996996996997	0.9702873843156355	1998
	tf_model.h5	config.json	train.tsv	0.9	test.tsv	42	0.9628440366972477	4360	0.9670417281464836	0.9601157941444417	0.9623384571329839	0.9643508988256044	0.9628440366972477	0.9623501288841084	0.9610516066212269	0.9909638554216867	0.9757785467128028	996	0.9951020408163266	0.8923865300146413	0.9409494403705133	1366	0.9449715370018975	0.996996996996997	0.9702873843156355	1998
	tf_model.h5	config.json	train.tsv	0.9	test.tsv	42	0.9628440366972477	4360	0.9670417281464836	0.9601157941444417	0.9623384571329839	0.9643508988256044	0.9628440366972477	0.9623501288841084	0.9610516066212269	0.9909638554216867	0.9757785467128028	996	0.9951020408163266	0.8923865300146413	0.9409494403705133	1366	0.9449715370018975	0.996996996996997	0.9702873843156355	1998
	tf_model.h5	config.json	train.tsv	0.9	test.tsv	42	0.9628440366972477	4360	0.9670417281464836	0.9601157941444417	0.9623384571329839	0.9643508988256044	0.9628440366972477	0.9623501288841084	0.9610516066212269	0.9909638554216867	0.9757785467128028	996	0.9951020408163266	0.8923865300146413	0.9409494403705133	1366	0.9449715370018975	0.996996996996997	0.9702873843156355	1998
	tf_model.h5	config.json	train.tsv	0.9	test.tsv	42	0.9511467889908257	4360	0.9525898096629803	0.952847006118433	0.9523920016652623	0.951145768753511	0.9511467889908257	0.9508496348248352	0.9590243902439024	0.9909274193548387	0.9747149231531979	992	0.9523076923076923	0.9036496350364963	0.9273408239700374	1370	0.9464373464373464	0.963963963963964	0.9551202578725515	1998
	roberta		train_wakati.tsv	0	test_wakati.tsv	42	0.5772727272727273	220	0.5153277596025687	0.5387461572244181	0.5107836522710841	0.5272082878953107	0.5772727272727273	0.5347387400121268	0.5714285714285714	0.5818181818181818	0.5765765765765765	55	0.6412213740458015	0.875	0.7400881057268722	96	0.3333333333333333	0.15942028985507245	0.2156862745098039	69
	roberta		train_wakati.tsv	0	test_wakati.tsv	42	0.45825688073394494	4360	0.15275229357798165	0.3333333333333333	0.2094998427178358	0.20999936874000505	0.45825688073394494	0.28801423331438253	0.0	0.0	0.0	992	0.0	0.0	0.0	1370	0.45825688073394494	1.0	0.6284995281535074	1998
	roberta		train_wakati.tsv	0	test_wakati.tsv	42	0.31363636363636366	220	0.2706422018348624	0.33456302151954326	0.169651771705687	0.22283152627189323	0.31363636363636366	0.15739403942228078	0.5	0.01818181818181818	0.03508771929824561	55	0.0	0.0	0.0	96	0.3119266055045872	0.9855072463768116	0.4738675958188154	69
	roberta		train_wakati.tsv	0	test_wakati.tsv	42	0.31363636363636366	220	0.10454545454545455	0.3333333333333333	0.15916955017301038	0.09836776859504132	0.31363636363636366	0.14976407675369613	0.0	0.0	0.0	55	0.0	0.0	0.0	96	0.31363636363636366	1.0	0.47750865051903113	69
	roberta		train_wakati.tsv	0	test_wakati.tsv	42	0.45825688073394494	4360	0.15275229357798165	0.3333333333333333	0.2094998427178358	0.20999936874000505	0.45825688073394494	0.28801423331438253	0.0	0.0	0.0	992	0.0	0.0	0.0	1370	0.45825688073394494	1.0	0.6284995281535074	1998
	roberta		train_wakati.tsv	0	test_wakati.tsv	42	0.45825688073394494	4360	0.15275229357798165	0.3333333333333333	0.2094998427178358	0.20999936874000505	0.45825688073394494	0.28801423331438253	0.0	0.0	0.0	992	0.0	0.0	0.0	1370	0.45825688073394494	1.0	0.6284995281535074	1998
	roberta		train_wakati.tsv	0	test_wakati.tsv	42	0.45825688073394494	4360	0.15275229357798165	0.3333333333333333	0.2094998427178358	0.20999936874000505	0.45825688073394494	0.28801423331438253	0.0	0.0	0.0	992	0.0	0.0	0.0	1370	0.45825688073394494	1.0	0.6284995281535074	1998
